,0,1
563,0.09999999999999964,2140.0
564,0.5,1660.0
565,0.1999999999999993,1840.0
566,0.0,1540.0
567,0.1999999999999993,1600.0
568,0.09999999999999964,1600.0
569,0.09999999999999964,1780.0
570,0.09999999999999964,1660.0
571,0.1999999999999993,2320.0
572,0.3000000000000007,1780.0
573,0.0,1960.0
574,0.5999999999999996,1900.0
575,0.9000000000000004,1660.0
576,0.09999999999999964,1960.0
